food,Carbohydrates,Fat,Protein
barley flour,110.3,2.4,15.5
safflower seed meal,13.8,0.7,10.1
sesame flour,33.3,46.4,38.5
whole grain wheat flour,86.4,3.0,15.9
corn flour yellow,89.9,4.5,8.1
corn flour whole grain,89.9,4.5,8.1
cottonseed flour low fat,10.2,0.4,14.1
sunflower seed flour,1.4,0.013,1.9
sesame meal,7.4,13.6,4.8
acorn flour,68.3,37.7,9.4
rice flour white,126.6,2.2,9.4
sesame flour low fat,10.0,0.5,14.2
potato flour,133.0,0.5,11.0
cornmeal yellow,124.7,2.7,11.2
rye flour,78.2,1.4,10.0
arrowroot flour,112.8,0.1,0.4
chickpea flour,53.2,6.2,20.6
wheat flour,95.4,1.2,12.9
cornstarch,116.8,0.03,0.3
carob flour,5.3,0.061,0.3
buckwheat flour,84.7,3.7,15.1
pecan pie,63.7,27.1,6.0
apple pie,46.4,15.6,3.0
vanilla wafer pie crust,88.4,63.7,6.5
chocolate pie crust,117.4,40.8,11.1
apple strudel,29.2,8.0,2.3
chocolate snack cake,30.2,8.0,1.8
fruit fried pie,54.5,20.6,3.8
pumpkin pie,40.9,14.4,7.0
corn cake,7.5,0.2,0.7
sponge snack cake,26.9,4.8,1.5
danish pastry with nuts,29.7,16.4,4.6
